product_type,agri_nonagri_type,product_segment,material_group_description,material_code,material_description,uom,price,custom_1,custom_2,custom_3,custom_4,custom_5,material_code_new,REMARKS,CHANGES
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1108,110MM 6KG/CM2 SELFIT (SLOTTED),MTR,627.5,PRICE PER MTR,SELFIT (SLOTTED),6,NULL,AGRI SELFIT (SLOTTED) PIPE-6KG,AM1139,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1109,110MM 10KG/CM2 SELFIT (SLOTTED),MTR,1088,PRICE PER MTR,SELFIT (SLOTTED),6,NULL,AGRI SELFIT (SLOTTED) PIPE-10KG,AM1144,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1112,125MM 6KG/CM2 SELFIT,MTR,767,PRICE PER MTR,SELFIT,6,3,AGRI SELFIT PIPE-6KG,AH1111,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1117,140MM 4KG/CM2 SELFIT (3 MTR),MTR,652,PRICE PER MTR,SELFIT,3,NULL,AGRI SELFIT PIPE-4KG,AH1112,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1118,140MM 6KG/CM2 SELFIT (3 MTR),MTR,951,PRICE PER MTR,SELFIT,3,NULL,AGRI SELFIT PIPE-6KG,AH1113,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1122,140MM 2.5KG/CM2 SELFIT,MTR,417.5,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-2.5KG,AH1114,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1123,140MM 4KG/CM2 SELFIT,MTR,652,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-4KG,AH1115,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1124,140MM 6KG/CM2 SELFIT,MTR,951,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-6KG,AH1116,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1125,140MM 8KG/CM2 SELFIT,MTR,1249.5,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-8KG,AH1117,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1126,140MM 10KG/CM2 SELFIT,MTR,1505,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-10KG,AH1118,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1129,160MM 4KG/CM2 SELFIT (3 MTR),MTR,851,PRICE PER MTR,SELFIT,3,NULL,AGRI SELFIT PIPE-4KG,AH1119,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1130,160MM 6KG/CM2 SELFIT (3 MTR),MTR,1230.5,PRICE PER MTR,SELFIT,3,NULL,AGRI SELFIT PIPE-6KG,AH1122,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1128,160MM 2.5KG/CM2 SELFIT (3 MTR),MTR,544.5, PRICE PER MTR,SELFIT,3,NULL,AGRI SELFIT PIPE-2.5KG,AH1267,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1134,160MM 2.5KG/CM2 SELFIT,MTR,544.5,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-2.5KG,AH1123,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1135,160MM 4KG/CM2 SELFIT,MTR,851,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-4KG,AH1124,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1136,160MM 6KG/CM2 SELFIT,MTR,1230.5,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-6KG,AH1125,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1137,160MM 8KG/CM2 SELFIT,MTR,1624,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-8KG,AH1126,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1138,160MM 10KG/CM2 SELFIT,MTR,1957,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-10KG,AH1127,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1142,180MM 6KG/CM2 SELFIT (3 MTR),MTR,1582.5,PRICE PER MTR,SELFIT,3,NULL,AGRI SELFIT PIPE-6KG,AH1128,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1143,180MM 8KG/CM2 SELFIT (3 MTR),MTR,2038.5,PRICE PER MTR,SELFIT,3,NULL,AGRI SELFIT PIPE-8KG,AH1129,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1145,180MM 2.5KG/CM2 SELFIT,MTR,701.5,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-2.5KG,AH1133,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1146,180MM 4KG/CM2 SELFIT,MTR,1104,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-4KG,AH1134,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1147,180MM 6KG/CM2 SELFIT,MTR,1582.5,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-6KG,AH1135,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1148,180MM 8KG/CM2 SELFIT,MTR,2038.5,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-8KG,AH1136,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1149,180MM 10KG/CM2 SELFIT,MTR,2495,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-10KG,AH1137,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1151,200MM 4KG/CM2 SELFIT (3 MTR),MTR,1339.5,PRICE PER MTR,SELFIT,3,NULL,AGRI SELFIT PIPE-4KG,AH1138,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1152,200MM 6KG/CM2 SELFIT (3 MTR),MTR,1939,PRICE PER MTR,SELFIT,3,NULL,AGRI SELFIT PIPE-6KG,AH1139,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1155,200MM 2.5KG/CM2 SELFIT,MTR,864,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-2.5KG,AH1144,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1150,200MM 2.5KG/CM2 SELFIT (3 MTR),MTR,864, PRICE PER MTR,SELFIT,3,NULL,AGRI SELFIT PIPE-2.5KG,AH1268,,
