Main Category,"AGRI/
PLUMBING & SANITATION",Product Segment,Material Group Description,Material Code ,Material Code ,Material Description,UOM,List Price Per Mtr (in Rs),Packing,Material Sub Type,UOM,Image Name in NEW SKU_PNG folder,Sales Observations (Sachin)
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1228,1270,280MM 2.5KG/CM2 RINGFIT,MTR,1809.00,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-2.5KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1246,1273,280MM 8KG/CM2 RINGFIT,MTR,5250.50,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-8KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1229,1275,315MM 2.5KG/CM2 RINGFIT,MTR,2275.50,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-2.5KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1269,1284,355MM 10KG/CM2 RINGFIT,MTR,10274.50,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-10KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1233,1280,355MM 2.5KG/CM2 RINGFIT,MTR,2862.00,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-2.5KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1266,1281,355MM 4KG/CM2 RINGFIT,MTR,4445.00,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-4KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1267,1283,355MM 8KG/CM2 RINGFIT,MTR,8451.50,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-8KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1277,1289,400MM 10KG/CM2 RINGFIT,MTR,13214.50,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-10KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1268,1288,400MM 8KG/CM2 RINGFIT,MTR,10868.50,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-8KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1249,1217,63MM 12.5KG/CM2 RINGFIT,MTR,384.50,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-12.5KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1235,1215,63MM 8KG/CM2 RINGFIT,MTR,261.50,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-8KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1255,1223,75MM 12.5KG/CM2 RINGFIT,MTR,544.00,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-12.5KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1236,1221,75MM 8KG/CM2 RINGFIT,MTR,376.00,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-8KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1256,1228,90MM 12.5KG/CM2 RINGFIT,MTR,777.50,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-12.5KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1237,1226,90MM 8KG/CM2 RINGFIT,MTR,523.00,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-8KG,Changes
SWR SELFIT PIPE,PLUMBING & SANITATION,PIPES,SWR SELFIT PIPE,SP1349,7106,110MM TYPE B SELFIT G (5 MTR),MTR,531.50,PRICE PER MTR,TYPE B SELFIT,5,SWR SELFIT TYPE B PIPES,Changes
